RT=430110.500000   LT=429517.000000
0	76
1	120
2	96
3	96
4	110
5	55
6	42
7	12
8	0
9	0
10	1
11	0
12	0
13	0
14	1
15	3
16	1
17	0
18	0
19	4
20	24
21	118
22	125
23	139
24	137
25	138
26	149
27	180
28	136
29	135
30	129
31	155
32	132
33	137
34	123
35	127
36	127
37	143
38	117
39	145
40	135
41	142
42	126
43	130
44	143
45	174
46	166
47	184
48	224
49	212
50	207
51	168
52	141
53	151
54	148
55	125
56	134
57	149
58	105
59	122
60	117
61	108
62	103
63	129
64	120
65	129
66	122
67	128
68	118
69	113
70	115
71	98
72	105
73	124
74	107
75	126
76	118
77	110
78	122
79	103
80	115
81	115
82	107
83	100
84	117
85	96
86	103
87	106
88	91
89	108
90	107
91	94
92	114
93	103
94	101
95	100
96	103
97	105
98	111
99	99
100	105
101	108
102	99
103	102
104	114
105	99
106	118
107	110
108	111
109	108
110	91
111	96
112	107
113	84
114	68
115	103
116	99
117	88
118	82
119	87
120	72
121	108
122	92
123	92
124	83
125	81
126	94
127	87
128	97
129	90
130	90
131	79
132	85
133	97
134	72
135	99
136	87
137	66
138	96
139	87
140	79
141	85
142	92
143	85
144	78
145	78
146	69
147	77
148	84
149	74
150	83
151	76
152	85
153	76
154	68
155	79
156	97
157	86
158	73
159	78
160	88
161	74
162	91
163	71
164	68
165	70
166	73
167	84
168	58
169	82
170	79
171	84
172	72
173	63
174	74
175	69
176	69
177	68
178	77
179	72
180	67
181	75
182	85
183	73
184	64
185	71
186	57
187	66
188	80
189	53
190	79
191	64
192	59
193	73
194	72
195	62
196	64
197	69
198	72
199	66
200	57
201	86
202	49
203	61
204	69
205	64
206	64
207	58
208	65
209	72
210	75
211	64
212	40
213	70
214	65
215	65
216	52
217	56
218	56
219	55
220	66
221	47
222	62
223	56
224	67
225	66
226	62
227	80
228	58
229	54
230	53
231	69
232	59
233	65
234	52
235	57
236	65
237	60
238	45
239	59
240	60
241	62
242	61
243	59
244	61
245	47
246	59
247	56
248	47
249	59
250	69
